isin,date
TW0002418001,2019Q4
IE00BWBXM724,2019Q4
IE00BWBXM831,2019Q4
LU0455555267,2019Q4
LU0808560162,2019Q4
IE00BFZPTC98,2019Q4
IE00BD8QG133,2019Q4
LI0247162550,2019Q4
LU1900068328,2019Q4
IE00BD0DT792,2019Q4
LI0148578060,2019Q4
LI0135665235,2019Q4
IE00BDZRXW98,2019Q4
IE00BZ173T46,2019Q4
LU0133348622,2019Q4
LI0247162519,2019Q4
LU1030981499,2019Q4
CH0347556943,2019Q4
LI0311056381,2019Q4
LI0484556381,2019Q4
IE00B52VJ196,2019Q4
LI0015327682,2019Q4
LI0183909808,2019Q4
LI0148577955,2019Q4
LI0026564604,2019Q4
LU0808561483,2019Q4
LU1857097791,2019Q4
LI0350495227,2019Q4
XS1293105885,2019Q4
XS1190237856,2019Q4
XS1100785010,2019Q4
CH0391696884,2019Q4
XS1732482614,2019Q4
XS1732482705,2019Q4
CH0018043619,2019Q4
CH0001551206,2019Q4
DE000UW0KYB4,2019Q4
LI0101102999,2019Q4
AT0000A1PCE4,2019Q4
CH0002379243,2019Q4
LU0975923060,2019Q4
LU1422844131,2019Q4
LI0183053573,2019Q4
LI0123908431,2019Q4
CH0239957738,2019Q4
LI0133634662,2019Q4
LI0350494998,2019Q4
CH0292869556,2019Q4
CH0205985317,2019Q4
CH0458395321,2019Q4
LI0132437745,2019Q4
LU1377967671,2019Q4
LU1380457579,2019Q4
IE00B435PM67,2019Q4
LU0830625413,2019Q4
LU1732804833,2019Q4
LU1326303051,2019Q4
KYG712661605,2019Q4
LI0369339432,2019Q4
CH0381808242,2019Q4
CH0479473909,2019Q4
CH0106407205,2019Q4
KYG256744775,2019Q4
KYG912381244,2019Q4
LI0234284839,2019Q4
CH0434695307,2019Q4
USU1714UAA35,2019Q4
LI0134049852,2019Q4
LI0148578011,2019Q4
CH0421720779,2019Q4
KYG132191373,2019Q4
LI0148540441,2019Q4
LU0301246939,2019Q4
LU1004823636,2019Q4
IE00BF0W0M27,2019Q4
LU1975717056,2019Q4
CH0405454205,2019Q4
YY0015743448,2019Q4
CH0106406280,2019Q4
LI0369339416,2019Q4
IE00BFX4MT63,2019Q4
CH0229880114,2019Q4
LI0242851397,2019Q4
LI0026013701,2019Q4
LU1808704826,2019Q4
QT0420215284,2019Q4
QT0466377949,2019Q4
QT0472313003,2019Q4
LI0369339408,2019Q4
LU1170059254,2019Q4
CH0416888235,2019Q4
LI0018669916,2019Q4
IE00B3WGLP80,2019Q4
IE00B60LX167,2019Q4
LU1681044308,2019Q4
XD0015556950,2019Q4
KYG4090R1149,2019Q4
LI0242851389,2019Q4
LI0369339457,2019Q4
IE00BQ5BMZ83,2019Q4
IE00BFX4MV85,2019Q4
LU1940856997,2019Q4
CH0419041105,2019Q4
LU1170056409,2019Q4
CH0500503989,2019Q4
CH0498317244,2019Q4
CH0498317251,2019Q4
CH0498317277,2019Q4
CH0500511529,2019Q4
CH0500507345,2019Q4
CH0498329603,2019Q4
CH0504267573,2019Q4
CH0507208772,2019Q4
CH0509392897,2019Q4
CH0506132460,2019Q4
CH0506132494,2019Q4
CH0347661628,2019Q4
LU1170059502,2019Q4
LU1805018519,2019Q4
IE00BFNPGF37,2019Q4
LU0984247410,2019Q4
LU1811047593,2019Q4
LI0247162683,2019Q4
LI0183054555,2019Q4
LI0217218879,2019Q4
CH0000041795,2019Q4
LI0005896605,2019Q4
USP02ESC9D87,2019Q4
LI0242851405,2019Q4
IE00BQ5BN116,2019Q4
IE00BDZ7CF50,2019Q4
LI0111017070,2019Q4
LI0183907877,2019Q4
US021ESC0175,2019Q4
DE0005437446,2019Q4
DE0007689184,2019Q4
LI0010737596,2019Q4
LI0203058768,2019Q4
LU1341466644,2019Q4
LU0482270237,2019Q4
LU0616864012,2019Q4
LU0957585929,2019Q4
LU0141248293,2019Q4
CH0028896535,2019Q4
LU0161534861,2019Q4
LU0102842878,2019Q4
IE00B2PF5D10,2019Q4
LI0014803386,2019Q4
IE00B3MCQ512,2019Q4
KYG256741623,2019Q4
LI0247162600,2019Q4
IE00B4613386,2019Q4
LU1191040333,2019Q4
LU1131273259,2019Q4
LU0498013860,2019Q4
CH0348402956,2019Q4
LI0111758319,2019Q4
LI0012656380,2019Q4
LI0021848457,2019Q4
LI0256202255,2019Q4
LI0244407370,2019Q4
LI0244407131,2019Q4
CH0441692628,2019Q4
LI0244407248,2019Q4
XS1223161651,2019Q4
LU1812910369,2019Q4
VGG9811B1085,2019Q4
CH0469765645,2019Q4
CH0441697478,2019Q4
XD0221378157,2019Q4
XD0221389543,2019Q4
XD0025487345,2019Q4
LU1376834666,2019Q4
XD0027360839,2019Q4
LU0397699561,2019Q4
CH0473585021,2019Q4
KYG437181657,2019Q4
LU1376834740,2019Q4
CH0474522338,2019Q4
LU0908636490,2019Q4
LU0953108692,2019Q4
LI0133634688,2019Q4
LU1802294691,2019Q4
LI0295783893,2019Q4
CH0229663411,2019Q4
LU1226268818,2019Q4
LI0239714376,2019Q4
LU1812909940,2019Q4
LU0466442554,2019Q4
LU0392495965,2019Q4
LI0148577963,2019Q4
LU0432616141,2019Q4
LI0148540482,2019Q4
LI0148578003,2019Q4
LU1015429985,2019Q4
LU1129548050,2019Q4
XD0384129116,2019Q4
XD0465573547,2019Q4
QOXABF0002D9,2019Q4
LU0607515284,2019Q4
LU0397833129,2019Q4
LI0326854382,2019Q4
CH0498325650,2019Q4
CH0504264760,2019Q4
LI0133634704,2019Q4
LI0148578052,2019Q4
LU1737652583,2019Q4
CH0108347441,2019Q4
LI0306345302,2019Q4
US3896371099,2019Q4
US0636798722,2019Q4
IE00BD0QBF03,2019Q4
LU0583245237,2019Q4
LU1829218749,2019Q4
DE0005437453,2019Q4
LI0106892867,2019Q4
CH0355532745,2019Q4
CH0300397335,2019Q4
CH0382334420,2019Q4
CH0400505829,2019Q4
DE000DX4XAG8,2019Q4
LU0816333040,2019Q4
XD0134229091,2019Q4
LU0808560675,2019Q4
CH0002771613,2019Q4
IE00BK63DD68,2019Q4
LI0230813219,2019Q4
CH0380460482,2019Q4
CH0252736829,2019Q4
CH0252737256,2019Q4
CH0464691838,2019Q4
CH0366676267,2019Q4
CH0423435343,2019Q4
CH0419582280,2019Q4
CH0449927232,2019Q4
CH0416913207,2019Q4
CH0459344674,2019Q4
CH0459346752,2019Q4
CH0469759085,2019Q4
CH0475084775,2019Q4
CH0416915228,2019Q4
CH0344122954,2019Q4
CH0448837036,2019Q4
CH0473229281,2019Q4
CH0473229711,2019Q4
CH0506092441,2019Q4
CH0506133062,2019Q4
LI0183909790,2019Q4
LI0036725187,2019Q4
XS2021377176,2019Q4
LI0279674878,2019Q4
CH0389886638,2019Q4
CH0510363051,2019Q4
AT0000481403,2019Q4
DE0007093718,2019Q4
NL0000322865,2019Q4
LU1811047320,2019Q4
LI0015327872,2019Q4
IE00BFM6T921,2019Q4
LI0183909998,2019Q4
LI0107849262,2019Q4
LU0727123407,2019Q4
US25150L1089,2019Q4
CH0002541586,2019Q4
LU0433846606,2019Q4
IE0000360275,2019Q4
LI0402109727,2019Q4
CH0399408522,2019Q4
XS0288906729,2019Q4
CH0293937287,2019Q4
XS1997315723,2019Q4
LI0030517226,2019Q4
IE00B7KQ7B66,2019Q4
CH0334587117,2019Q4
XS1941745199,2019Q4
CH0254524298,2019Q4
CH0304567131,2019Q4
CH0355033371,2019Q4
CH0501365156,2019Q4
CH0313091420,2019Q4
CH0146739518,2019Q4
US46138E8003,2019Q4
KYG4481K1325,2019Q4
CH0283471693,2019Q4
LI0506368468,2019Q4
LI0012960956,2019Q4
CH0421235745,2019Q4
DE000LS9PFN5,2019Q4
CH0499658109,2019Q4
XS1942319549,2019Q4
CH0479474543,2019Q4
XS1994773403,2019Q4
XS1941720523,2019Q4
CH0502664086,2019Q4
CH0504157121,2019Q4
CH0511543370,2019Q4
CH0424315429,2019Q4
LU1939247190,2019Q4
CH0428751389,2019Q4
LU0110450813,2019Q4
IE00BJL5FB27,2019Q4
LU1670725776,2019Q4
XD0283385884,2019Q4
KYG8700A1067,2019Q4
GI000A12HHD7,2019Q4
GI000A2AG7A3,2019Q4
LU1576033960,2019Q4
GI000A2PSD45,2019Q4
CH0213855262,2019Q4
XS1752947082,2019Q4
XS1812387634,2019Q4
XS1752926326,2019Q4
CH0479475565,2019Q4
XS1941723386,2019Q4
XS2003702441,2019Q4
XS1994765136,2019Q4
CH0492930562,2019Q4
LU1819586261,2019Q4
CH0401668600,2019Q4
LU1135197975,2019Q4
LU1911739453,2019Q4
SG9999006787,2019Q4
CH0477836784,2019Q4
XS2030666601,2019Q4
CH0423438065,2019Q4
CH0475537178,2019Q4
CH0429794271,2019Q4
CH0495579192,2019Q4
CH0511554096,2019Q4
CH0504163475,2019Q4
LU1670724373,2019Q4
GI000A1W5AT9,2019Q4
GI000A2ABT92,2019Q4
GI000A2AF033,2019Q4
LI0325825532,2019Q4
KYG4481K1242,2019Q4
KYG4481K1655,2019Q4
XS1842897255,2019Q4
XS1883114669,2019Q4
XS1079317597,2019Q4
XS1221664656,2019Q4
XS1186826373,2019Q4
CH0283468566,2019Q4
XS1334782643,2019Q4
XS1520714004,2019Q4
XS1656113732,2019Q4
CH0234427760,2019Q4
XS1038608813,2019Q4
XS1079317670,2019Q4
CH0283467279,2019Q4
CH0301125065,2019Q4
CH0301125073,2019Q4
XS1457324504,2019Q4
XS1457324413,2019Q4
CH0355033538,2019Q4
CH0350471394,2019Q4
XS1520715076,2019Q4
XS1894805636,2019Q4
XS1951934287,2019Q4
XS1414108149,2019Q4
XS1941760073,2019Q4
XS1941724780,2019Q4
XS1941722651,2019Q4
CH0420010164,2019Q4
CH0468125221,2019Q4
CH0470248680,2019Q4
CH0489817434,2019Q4
CH0492628885,2019Q4
CH0499657408,2019Q4
CH0499659099,2019Q4
CH0501364852,2019Q4
CH0501364860,2019Q4
CH0507200332,2019Q4
CH0486095786,2019Q4
CH0495582162,2019Q4
XS2021373266,2019Q4
IE00BCBVQY15,2019Q4
XD0242932065,2019Q4
LI0391723181,2019Q4
CH0472333852,2019Q4
XS0899981079,2019Q4
XS1935881406,2019Q4
LU1911739297,2019Q4
US46131T1016,2019Q4
US6706561072,2019Q4
US09255E1029,2019Q4
US32026X1000,2019Q4
AU3FN0030458,2019Q4
IL0011391955,2019Q4
LU1681044993,2019Q4
CH0239350918,2019Q4
CH0284402523,2019Q4
CH0251418403,2019Q4
CH0300128300,2019Q4
CH0288454181,2019Q4
CH0214778281,2019Q4
CH0242047170,2019Q4
CH0381796090,2019Q4
CH0369912016,2019Q4
CH0214778364,2019Q4
CH0314518991,2019Q4
CH0372090461,2019Q4
CH0382896873,2019Q4
CH0359032528,2019Q4
CH0392180334,2019Q4
CH0214778331,2019Q4
CH0395247718,2019Q4
